,Review_Text,Topic,Doc_ID,LDA_Topic
0,find hongkong similar layout walk street familiar feel ride small absolutely fabulous worth day visit fairly hot busy queue move fairly well,-1,0,3
1,last time visit hongkong time stay tomorrowland aka marvel landnow iron man experience newly open ant man waspironman great feature excite especially whole scenery hongkong hongkong central area kowloonantman change previous buzz lightyear im expect mosthowever boy like itspace mountain turn star war greatfor cast member staff felt bit minus point dun feel like brand local like ocean worstthey smile face wanna enter attraction leavehello suppose happy place earth brand feel itbakery street attractive delicacy theme sweet pointslast starbucks inside theme,-1,1,5
2,thanks god hot humid visit big issue shadei arrive left pm unfortunately last evening parade hour methere find interesting enjoyit extremely busy long time queue attraction minute badalthough amazing time felt bit underwhelmed choice ride attraction small expect grand castle close way smallthe food option coffee shop include starbucks gift shop issue toilets everywhereall great day enjoy,20,2,6
3,hongkong great compact unfortunately bit maintenance work go present number area close include famous castle midweek crowd certainly near bus la notice visit price food drink roof prepared pay top dollar snack avoid souvenir shop regardless kid love,43,3,3
4,location city take hour kowloon kid like fine crowd hot hongkong,47,4,7
5,anaheim tokyo feel hongkong small call way ride attraction souvenirs food entrance ticket slightly expensive well basically small child people food choice acceptable fast food expensive bottle water expensive water fountain refill water bottle parade pretty crowd problem problem people rude push shove cut line ride gift shop food stand take forget try see show free seat see let happen far worst manage property,-1,5,2
6,great place day wo know obviously go daughter absolutely love bad parade cancel,-1,6,7
7,think intro magic little one attraction complete daysone drawback time example disney storybook theatre close wed thu private event restaurant close mid week tue thur well best plan visit mid weekthe big disappointment food maxim decent restaurant street corner cafe street bakery prepare typical abrupt hongkong style service serve staff,-1,7,9
8,feel let placethe train fantastic past stationbad signage terrible staff want rainning ride work find map place price fun character see cabana photo visitor queue rain waste money walt horrify eat place amount people rest room build know atmosphere fun fantasy,26,8,4
9,talk say childhood dream come true start entrance environment popcorn show mtr train station specially design opinion day ticket explore well time attraction may remain incomplete day online day ticket save hongkongd comparison spot ticket miss attraction include jungle river cruise mickys phillhar magic show lion king showit home work show timing maximise number show cover avoid sunday public holiday avoid rush,24,9,9
10,cease amaze ive florida think exhaust kid nope still fun hongkong dl bucketlist come,42,10,8
11,spent day grown kid admit great time kid tire ride state great one haunt house catch lion king show space mountain iron man experience list shop spend money course kid love day,-1,11,8
12,spend day second day go early go straight back lineups child rid twice row suitable young child rid disappointing castle close nightly firework like hot season,-1,12,7
13,happy place earth family fun make daughter birthday memorable,29,13,8
14,place huge definately need day child age love great variety ride attraction age food option fantastic model order staff fantastic helpful awesome family experience,3,14,8
15,brought ticket leave day price visit advise look online deal worth walk price castle close due area refurbish alter weekday aprox min wait ride recommend weekend holiday like theme general food drink expensive small easily day,-1,15,7
16,huge visit day day pass scene amaze like movie fairytale pm enjoy character show street visit,-1,16,6
17,person want eat drink point cost small fortune week day like assume like wait half hour ride time go castle construction look like finish soon fast track free single rider faster average day expensive place,12,17,3
18,need review place speaks small expected great experience,12,18,7
19,say child step inside hongkong easy come dedicated tram subway station wait parade sunset definitely worth wait,53,19,4
20,buy day tourist ticket klook make value day bearing second day ride miss back favourite one mean queuingthe show parades amaze saw lion king moana mickey wondrous book unfortunately work castle visible train open still magical time,-1,20,6
21,first im big fan live minute california year choice vacation hongkong able free ticket first subway downtown super easy say impressed train take deck theme next okay super small compare california castle construction kinda suck train run go wednesday slow ride come idea nice place little kid thrill seeker stay home tip sure read description ride wait line minute life back iron man experience,-1,21,3
22,mickey wounderous book great kid love new ant man attraction age year old love pub afraid wait line loud noise year old afraid iron man ride great ride castle major construction firework still beautiful wonderful visit buy teacup ride restaurant standard chinese food reasonable price great day still best attraction hongkong child top sure adult roller coaster rid well disappointed,-1,22,3
23,hongkong twice new attraction ant man wasp experience flat enjoyable disneyland region sleep beauty castle renovation picture take square appeal scaffold sight souvenir food entrance ticket slightly expensive disneyland,-1,23,6
24,early want photo signboard mickey donald duck spend hour wait line free photo pay photo pricetomorrow iron man excellent twicephilar magic awesomefantasy great ridesadventure nice opportunity take photo tarzan treetop house visit boat cruise kidsgrizzly gulch favourites roller coaster ride worth minute wait,21,24,4
25,disneyland generic language shame building work close eat area definitely worth visit young child,10,25,3
26,second trip first year ago smallish attraction high standard thrill rid outdoor roller coaster clean tidy food expensive excellent qualify serve like warm cold vegetarian optionsthe castle renovation time visit easy walk attraction great kid line virtually non existent long wait minutesoverall worth visit kid hongkong time entry comparatively inexpensive compare,-1,26,3
27,hongkong time still want come back rid chicken try first visit finally courage try end love love big grizzly mountain ride think scary love back,-1,27,8
28,visit wednesday arrive open find queue time short ride want early afternoon unfortunately fireworks due castle renovate see parade decide stay even,19,28,7
29,need say home anaheim hongkong th big ride scary space mountain kiddy rid enjoy lion king show ca expensive water equate aud small bottle burger combo meal equate aud stayed hollywood hotel ball charge insane price aud buffet dinner aud breakfast shop cafes supermarket nearby grab snack cheap dinner take train travel hongkong china week crazy expensive crappy deep fry food flavourless bowl lettuce salad food place open castle maintenance train maintenance voucher way state shop st discount told bakery home call false advertising toy story insanely hot shade sun bounce light concrete husband actually hypo wait daughter ride coz hot come surely put camo style shade wait parent pas seat elderly astray pretty disappointing experience aud poorer adult child day pas note wo need back second day,-1,29,7
30,take year old year old fault hire pram pinch quickly replace staff amaze stay hotel make easy,-1,30,8
31,great day adultswe early able ride couple hour restaurant great selection food try caramel popcorn unfortunately go bar restaurant close still option availablethe ride little kid bit couple adult shop highlight day huge selection gift clothe note daily special early sell shade bring hat umbrella,4,31,7
32,go hongkong little trepidation family california month previouslyno trepidation need love hongkongdl love loved loved ityes small california fast pace ride great day beautiful experience like anaheimwe go day large amount rain expected number line minute ride rain hold pm wed able time go back ride want rain start found people huddle umbrellas go undercover ride overi totally recommend hongkongdl keep mind small slower pace,-1,32,3
33,fun ride like iron man experience hyperspace mountain toy story car go shanghai well crowd ca rid hongkong able ride ride day line short small easy,-1,33,3
34,la time tokyo sea walking gate hongkong felt like go back la hongkong government love quietness hongkong morning hongkong open walk people front great toy storyland open purchase ticket online australia print leave email link electronic version qr code personalise character print version easier website little slow purchase din voucher well entitle lunch dinner popcorn iceblock day like double number voucher purchase hongkong us old style fast pas system scan ticket print fastpass stay explorer lodge receive fast pass rid well food hongkong aim asian market restaurant serve burger fussy eater beware may limited choice food quality ate starliner restaurant tomorrowlandwe love space mountain star war overlay sooo coool pirate caribbean ride sad lion king show mickey philharmagic show great fununique hongkong mystic manor amaze trackless ride fun go time big grizzly mountain runaway mine car great fun experience varies depend sit front row amaze last row still fun little rough unique hongkong iron man experience ride simulator stark industry flyer hongkong funwhen ride jungle cruise remember choose english line cantonese line skipper script say difference line wait time notice ityes hongkongl small la tokyo day allow see pretty break net speed love family girl age attend christmas decoration parade greathongkong mtr line change sunny bay station line octopus card travel mtr shuttle bus run hotel transport hub walk want bay hotel roughly minute walk hotel bay ferry run central hongkong mtr train best option opinion especially mickey shaped window theme inside train carriage,45,34,9
35,australian family kid enjoy full day hongkong seeif disney chance visit hongkong say definitely couple unique hongkong experience include marvel attraction antman ironman enjoyedfor thrill seeker couple great ride big grizzly mountain favourite unexpected fast rc racer toystoryland definitely worth waitfor family young kid heap kind skip fantasyland young family spend day herethe easy well dedicate train line fun ride easily navigable mtr hongkong simple cheap,40,35,8
36,travel mong cok purchase ticket travel shop discount rate purchase hong thai travel bank centre nathan road right next mong kok station level numerous travel shop include ct review read people purchase ticket ask shop level price ticket include ct find hong thai travel cheap ticket hongkongd adult recommend ask shop price day open sale advisor hand letter take box office swap entry ticket easy problem hong thai travel bank centre nathan roadas open decide taxi way cost roughly hongkongd mong kok take minuteson way back train route isdisney sunny bay pink linesunny bay lai king station orange linelai king station mong kok red linethe train cost hongkongd take roughly hour want catch train mong kok route ismong kok lai king station red linelai king station sunny bay station orange linesunny bay station pink line,-1,36,9
37,hongkong easy mtr kowloon great signage fast day start well arrive start rain heavily mid afternoon character street saw day due rain crowd entry big inside crowd toy story ghost town go ride rain enjoy ride open day hear great mystic manor find okay loved hyperspace mountain ant man ironman big grizzly mountain runaway mine car favorite day shop usa disappointing cater mainly child happy visit think id hongkong,-1,37,5
38,visit understand memorable experience place bring child stay fireworks food expensive take snack,-1,38,6
39,hongkongdl event period like jan feb chine new year apr may spring carnival summer halloween christmas event theme charaters costume decorate special daily parade thats recommend check clearly event want join trip like crowd mar november event happen choice,-1,39,6
40,great amusement small ride tame day clean best customer service,22,40,7
41,visit family memorable experience big anaheim clean well maintain receive priority queue pass need line short,20,41,4
42,go fun reminder bring selfie stick huge tripod bring bottled water reusable container food expensive eat go ride rollercoasters right away miss festival lion king show forget moana production expect song movie see maui wear comfortable shoe walk fun discourage long queue turn sooner think,11,42,9
43,honest rain nearly day weather im sure impression lack thrill seek ride lack ridiculously long quees wait minute,-1,43,2
44,super small cute fan tick day warn service walt translate well hongkong food lunch lucky nugget saloon mediocre besta fun day regardless,-1,44,3
45,plaza inn fantastic kid group love ride small love worth visit super skip anaheim,-1,45,8
46,first orlando yr ago year oldback buy value ticket rid changed entry fee cover ride food change place remarkably clean well maintain give number visitor see day ride long wait minute skip later day pm wait period minutesa full day leave street parade finish pm exhaust simply love,7,46,4
47,great time great busy saturday sunday point note open first zone open purchase priority ticket go weekend recommend priority ticket queue small week sure priority need,20,47,7
48,terrific time hongkong ride fun wait time ok show enjoyable clean staff super friendly let average food expect,46,48,4
49,rain set day adult still fun time hongkong,53,49,4
50,see small great brought child adult one excite big child,23,50,8
51,love work college come hongkong knew visit visit go regret hongkong small able ride ride hour first arrive love wondrous book mickey mystic manor ride like new ant man wasp ride like buzz lightyear space ranger ride orlando liked character dress easter easter decoration well love parade afternoon night time remind electro magic parade orlando fan visit hongkong,-1,51,5
52,small catering kid nice ride include new ant man ride pricey food long queues part theme try morning evening best stay day hotel maximize,4,52,2
53,essay city central station buy ticket sight additional vip status line upit week day full heaven downside experience castle publicity reparation hard find restaurant variation vegetarian food like pop corn corn cob vegie burger fast food outlet enjoy self mind friend somethingso work adult well,26,53,9
54,awesome attraction blow mind away attraction fill amazing ride entertainment halal food definitely cater need glad able meet mickey friend,9,54,6
55,great fun family small plus facility new load game,13,55,8
56,love place clean safe mrt night time beautiful,-1,56,8
57,hongkong small people wait line long take average hour line transit tram nice impressive,33,57,4
58,visited parent teenage sister fun day food offering expensive incredibly busy think disneyland easy central hongkong think highlight gift shop huge definitely recommend family day,-1,58,7
59,ok cater small child adult area close thrill ride rest child maybe need western restaurant well,3,59,2
